Participant,Race,Sex,Age,State,Community,Highest Edu Completed,Current Student Status,Major,Employment,Marital Status,Housing,Annual Income
205718,Black or African-American,Male,50,Georgia,Suburban,Four year college or university degree/Bachelor's degree,Yes,Psychology/behavorial science,Part-time,Widowed,Rent,$20K to under $30K
205732,White,Male,30,Ohio,Urban,Two year associate degree from a college or university,No,Computer and information sciences,Full-time,Never been married,Own,$50K to under $75K
205733,White,Female,42,Pennsylvania,Rural,Four year college or university degree/Bachelor's degree,No,Mathematics/statistics,Full-time,Never been married,Own,$150K or more
205749,White,Female,53,North Carolina,Suburban,Four year college or university degree/Bachelor's degree,No,Social work/Human services,Full-time,Never been married,Own,$75K to under $100K
205896,Hispanic/Latino,Male,40,New York,Urban,High school graduate (Grade 12 with diploma or GED certificate),Yes,,Full-time,Never been married,Rent,$40K to under $50K
205950,White,Female,26,Pennsylvania,Urban,Four year college or university degree/Bachelor's degree,Yes,,Part-time,Never been married,Rent,$10K to under $20K
206017,White,Male,19,Wyoming,Rural,High school graduate (Grade 12 with diploma or GED certificate),Yes,Engineering/drafting,Not employed,Never been married,Live in a dorm,Less than $10K
206203,Black or African-American,Male,30,Virginia,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Own,$50K to under $75K
206347,White,Male,68,Massachusetts,Suburban,Two year associate degree from a college or university,,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Own,$30K to under $40K
206358,White,Female,Don't know/Refused,Tennessee,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Not employed,Widowed,Own,Don't know/Refused
206387,White,Male,34,Florida,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Part-time,Never been married,Rent,$10K to under $20K
206564,White,Female,26,New York,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,$20K to under $30K
206574,White,Female,32,Florida,Suburban,Two year associate degree from a college or university,No,Vocational/technical,Part-time,Divorced,Rent,Less than $10K
206710,Black or African-American,Female,30,Utah,Urban,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Rent,$40K to under $50K
206828,White,Male,40,North Carolina,Rural,Two year associate degree from a college or university,No,English/literature,Full-time,Never been married,Own,$20K to under $30K
206966,Refused,Male,80,California,Suburban,Two year associate degree from a college or university,,Engineering/drafting,Not employed,Widowed,Own,$100K to under $150
207018,White,Male,25,Florida,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Living with a partner,Rent,$20K to under $30K
207082,White,Male,52,Tennessee,Urban,Some college-no degree (includes some community college),No,,Full-time,Divorced,Rent,$50K to under $75K
207136,Black or African-American,Female,33,Louisiana,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Never been married,Rent,$10K to under $20K
207358,White,Female,31,Wisconsin,Urban,Two year associate degree from a college or university,No,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Own,$30K to under $40K
207388,White,Female,41,Michigan,Urban,Two year associate degree from a college or university,No,Psychology/behavorial science,Not employed,Never been married,Own,Less than $10K
207501,White,Male,25,South Carolina,Suburban,Two year associate degree from a college or university,No,Engineering/drafting,Full-time,Never been married,Live with parents,$50K to under $75K
207542,Black or African-American,Male,64,Texas,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Separated,Own,Don't know/Refused
207571,Hispanic/Latino,Male,26,Idaho,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Married,Own,$30K to under $40K
207576,Hispanic/Latino,Female,28,California,Urban,Four year college or university degree/Bachelor's degree,Yes,,Full-time,Never been married,Own,$50K to under $75K
207611,Black or African-American,Male,32,Nebraska,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Married,Rent,$30K to under $40K
207694,White,Male,29,New York,Urban,Postgraduate or professional degree,No,Life sciences/Health sciences,Full-time,Never been married,Rent,$75K to under $100K
207743,White,Female,52,Massachusetts,Suburban,Two year associate degree from a college or university,No,Liberal arts/humanities/general studies,Full-time,Never been married,Own,$50K to under $75K
207745,White,Female,28,Virginia,Urban,Four year college or university degree/Bachelor's degree,Yes,,Not employed,Never been married,Rent,$40K to under $50K
207813,Black or African-American,Male,37,Maryland,Suburban,Postgraduate or professional degree,No,Life sciences/Health sciences,Full-time,Never been married,Own,$75K to under $100K
207847,White,Female,34,Missouri,Rural,Four year college or university degree/Bachelor's degree,Yes,,Full-time,Never been married,Own,$30K to under $40K
207858,White,Female,48,New Mexico,Urban,Two year associate degree from a college or university,No,Vocational/technical,Full-time,Never been married,Own,$40K to under $50K
207906,White,Male,64,Ohio,Rural,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Retired,Widowed,Own,$75K to under $100K
207953,Native American/American Indian/Alaska Native,Male,61,Missouri,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Married,Own,$75K to under $100K
207978,White,Female,62,Washington,Rural,Four year college or university degree/Bachelor's degree,No,Psychology/behavorial science,Full-time,Divorced,Rent,$20K to under $30K
208029,Native American/American Indian/Alaska Native,Male,65,Colorado,Urban,Four year college or university degree/Bachelor's degree,,Business/management/finance/marketing/accounting/human resources,Full-time,Divorced,Own,$40K to under $50K
208039,Hispanic/Latino,Female,24,Nebraska,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Married,Rent,$10K to under $20K
208055,Hispanic/Latino,Male,24,Texas,Urban,Two year associate degree from a college or university,No,Vocational/technical,Not employed,Never been married,Rent,$10K to under $20K
208056,Hispanic/Latino,Male,54,Florida,Urban,Some college-no degree (includes some community college),No,,Full-time,Divorced,Own,$50K to under $75K
208106,White,Male,30,North Carolina,Suburban,Some college-no degree (includes some community college),No,,Part-time,Never been married,Rent,Don't know/Refused
208323,White,Male,50,Michigan,Rural,Two year associate degree from a college or university,No,Vocational/technical,Full-time,Divorced,Other arrangement,Less than $10K
208329,White,Male,65,Pennsylvania,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Full-time,Divorced,Own,$75K to under $100K
208359,White,Male,50,Michigan,Suburban,Two year associate degree from a college or university,No,Business/management/finance/marketing/accounting/human resources,Full-time,Living with a partner,Rent,$40K to under $50K
208402,White,Female,23,Texas,Suburban,Four year college or university degree/Bachelor's degree,No,Social work/Human services,Full-time,Never been married,Rent,$30K to under $40K
208498,Asian or Asian-American,Male,25,South Carolina,Suburban,Postgraduate or professional degree,Yes,,Not employed,Never been married,Rent,$100K to under $150
208518,Hispanic/Latino,Male,32,Florida,Urban,Postgraduate or professional degree,Yes,,Full-time,Divorced,Own,$75K to under $100K
208613,Black or African-American,Male,59,Indiana,Suburban,Some college-no degree (includes some community college),No,,Not employed,Widowed,Rent,$10K to under $20K
208626,White,Male,67,Missouri,Rural,Postgraduate or professional degree,,Business/management/finance/marketing/accounting/human resources,Part-time,Divorced,Own,$40K to under $50K
208636,White,Male,28,Illinois,Urban,Four year college or university degree/Bachelor's degree,No,Computer and information sciences,Full-time,Never been married,Own,$75K to under $100K
208637,White,Male,72,Tennessee,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Not employed,Never been married,Other arrangement,Don't know/Refused
208640,White,Female,53,Minnesota,Urban,Some college-no degree (includes some community college),No,,Full-time,Living with a partner,Own,$50K to under $75K
208868,Black or African-American,Male,70,South Carolina,Suburban,Some college-no degree (includes some community college),,,Not employed,Widowed,Rent,Don't know/Refused
208914,White,Female,49,Kansas,Suburban,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Widowed,Own,$75K to under $100K
208946,White,Male,62,Florida,Urban,Some college-no degree (includes some community college),No,,Full-time,Divorced,Rent,$10K to under $20K
209046,White,Female,43,New York,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Living with a partner,Rent,$10K to under $20K
209052,White,Male,77,Texas,Urban,Postgraduate or professional degree,,Life sciences/Health sciences,Retired,Married,Own,Don't know/Refused
209074,White,Female,66,Florida,Suburban,Some college-no degree (includes some community college),,,Not employed,Divorced,Own,Don't know/Refused
209095,Black or African-American,Female,32,North Carolina,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,$20K to under $30K
209120,White,Female,50,Alabama,Urban,Postgraduate or professional degree,No,Education,Full-time,Married,Own,Don't know/Refused
209152,White,Female,34,Missouri,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Divorced,Own,$20K to under $30K
209161,Black or African-American,Male,30,Michigan,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,$30K to under $40K
209193,Black or African-American,Male,27,Louisiana,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Married,Rent,Don't know/Refused
209260,Black or African-American,Male,28,Alabama,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Part-time,Never been married,Rent,$20K to under $30K
209316,Black or African-American,Male,39,Florida,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Never been married,Other arrangement,Don't know/Refused
209721,White,Female,20,Oregon,Suburban,Four year college or university degree/Bachelor's degree,Yes,Natural sciences,Not employed,Never been married,Rent,Less than $10K
209798,White,Male,43,Oregon,Rural,Four year college or university degree/Bachelor's degree,No,Computer and information sciences,Full-time,Married,Own,$100K to under $150
209827,White,Male,37,California,Suburban,Four year college or university degree/Bachelor's degree,No,Art-visual art/theater/dance/art history,Part-time,Never been married,Rent,$20K to under $30K
210168,Black or African-American,Male,46,Pennsylvania,Urban,Two year associate degree from a college or university,No,Vocational/technical,Full-time,Separated,Rent,$40K to under $50K
210232,Asian or Asian-American,Male,27,Virginia,Suburban,Postgraduate or professional degree,No,Life sciences/Health sciences,Full-time,Never been married,Rent,$30K to under $40K
210251,Black or African-American,Male,64,Pennsylvania,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Retired,Never been married,Own,$40K to under $50K
210360,White,Female,22,North Dakota,Urban,Some college-no degree (includes some community college),Yes,,Part-time,Never been married,Rent,Less than $10K
210365,Black or African-American,Female,36,Missouri,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Married,Rent,$10K to under $20K
210417,White,Female,50,North Carolina,Urban,Postgraduate or professional degree,No,Other,Retired,Divorced,Own,$100K to under $150
210434,White,Male,60,Rhode Island,Suburban,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Married,Own,$100K to under $150
210469,Black or African-American,Male,52,Alabama,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Own,$40K to under $50K
210481,White,Male,23,Texas,Urban,Two year associate degree from a college or university,No,Vocational/technical,Full-time,Never been married,Rent,$10K to under $20K
210487,White,Male,51,Florida,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Own,$40K to under $50K
210635,White,Male,30,Ohio,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Married,Own,$100K to under $150
210671,White,Male,52,Kentucky,Suburban,Four year college or university degree/Bachelor's degree,No,Vocational/technical,Full-time,Married,Own,$150K or more
210740,White,Female,55,California,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Divorced,Own,$50K to under $75K
210830,Hispanic/Latino,Female,36,Florida,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Married,Rent,Don't know/Refused
210868,White,Male,46,South Carolina,Suburban,Two year associate degree from a college or university,No,Liberal arts/humanities/general studies,Full-time,Married,Own,Don't know/Refused
210902,White,Male,35,California,Suburban,Two year associate degree from a college or university,No,Police and protective services/Criminal justice,Part-time,Married,Own,$100K to under $150
210933,White,Male,28,New Jersey,Suburban,Four year college or university degree/Bachelor's degree,No,Computer and information sciences,Full-time,Married,Own,$50K to under $75K
210965,Black or African-American,Female,47,Kansas,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Don't know/Refused,Rent,Less than $10K
211183,Pacific Islander/Native Hawaiian,Female,21,California,Urban,Four year college or university degree/Bachelor's degree,No,Other,Part-time,Divorced,Rent,Less than $10K
211220,Black or African-American,Female,31,Virginia,Suburban,Postgraduate or professional degree,No,Other,Full-time,Never been married,Rent,$75K to under $100K
211367,Black or African-American,Female,35,Missouri,Urban,Two year associate degree from a college or university,Yes,Life sciences/Health sciences,Part-time,Never been married,Rent,Less than $10K
211394,Hispanic/Latino,Female,29,Illinois,Urban,Some postgraduate or professional schooling-no postgraduate degree,Yes,,Not employed,Never been married,Rent,$10K to under $20K
211395,White,Male,32,Rhode Island,Urban,Postgraduate or professional degree,No,Education,Full-time,Never been married,Rent,$40K to under $50K
211517,Black or African-American,Female,74,New York,Urban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Never been married,Rent,Less than $10K
211837,White,Female,66,Massachusetts,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Never been married,Rent,Don't know/Refused
212409,White,Male,54,Arizona,Urban,Four year college or university degree/Bachelor's degree,No,Vocational/technical,Full-time,Separated,Own,$150K or more
212821,White,Male,54,West Virginia,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Divorced,Own,$30K to under $40K
212964,White,Male,26,New York,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Never been married,Own,Less than $10K
212985,White,Male,67,Florida,Suburban,Four year college or university degree/Bachelor's degree,,Business/management/finance/marketing/accounting/human resources,Retired,Never been married,Own,$50K to under $75K
213046,White,Male,70,Virginia,Suburban,Some college-no degree (includes some community college),,,Not employed,Married,Own,$75K to under $100K
213180,White,Female,50,North Carolina,Suburban,Four year college or university degree/Bachelor's degree,No,Liberal arts/humanities/general studies,Full-time,Divorced,Own,$75K to under $100K
213231,Black or African-American,Male,35,Florida,Urban,Four year college or university degree/Bachelor's degree,No,Computer and information sciences,Not employed,Divorced,Rent,$10K to under $20K
213249,White,Female,75,Virginia,Urban,Four year college or university degree/Bachelor's degree,,English/literature,Retired,Widowed,Other arrangement,$50K to under $75K
213379,White,Male,86,Texas,Urban,Some college-no degree (includes some community college),,,Retired,Widowed,Rent,$40K to under $50K
213387,Black or African-American,Male,44,Nevada,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Never been married,Rent,$10K to under $20K
213425,Native American/American Indian/Alaska Native,Male,21,Texas,Suburban,Two year associate degree from a college or university,Yes,Life sciences/Health sciences,Not employed,Never been married,Rent,$30K to under $40K
213473,White,Female,39,Nebraska,Rural,Postgraduate or professional degree,Yes,,Full-time,Divorced,Rent,$30K to under $40K
213538,Hispanic/Latino,Male,40,Florida,Rural,Some postgraduate or professional schooling-no postgraduate degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Divorced,Rent,$40K to under $50K
213589,Hispanic/Latino,Male,34,New Mexico,Urban,Two year associate degree from a college or university,Yes,Social sciences,Full-time,Never been married,Rent,Less than $10K
213842,White,Female,25,Washington,Rural,Some college-no degree (includes some community college),Yes,Liberal arts/humanities/general studies,Don't know/Refused,Separated,Rent,Don't know/Refused
213885,Black or African-American,Male,32,Virginia,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Separated,Rent,$20K to under $30K
213893,White,Male,76,California,Urban,Two year associate degree from a college or university,,Police and protective services/Criminal justice,Retired,Widowed,Own,$50K to under $75K
213996,Black or African-American,Female,64,Mississippi,Suburban,Two year associate degree from a college or university,No,Education,Not employed,Widowed,Own,$30K to under $40K
214033,Black or African-American,Male,24,Texas,Urban,Some college-no degree (includes some community college),Yes,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Rent,$30K to under $40K
214060,White,Female,70,Washington,Rural,Some college-no degree (includes some community college),,,Part-time,Divorced,Rent,$10K to under $20K
214143,White,Female,59,Ohio,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Divorced,Rent,$100K to under $150
214180,Asian or Asian-American,Male,32,Texas,Suburban,Postgraduate or professional degree,Yes,,Full-time,Never been married,Rent,$100K to under $150
214263,White,Female,28,Nebraska,Suburban,Some college-no degree (includes some community college),Yes,Life sciences/Health sciences,Full-time,Never been married,Rent,$20K to under $30K
214305,Black or African-American,Male,25,California,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,$40K to under $50K
214402,White,Female,37,New Hampshire,Suburban,Two year associate degree from a college or university,No,Vocational/technical,Full-time,Married,Own,$75K to under $100K
214418,White,Female,30,Massachusetts,Suburban,Four year college or university degree/Bachelor's degree,No,English/literature,Not employed,Never been married,Rent,$40K to under $50K
214547,White,Female,22,South Carolina,Suburban,Postgraduate or professional degree,No,Natural sciences,Full-time,Divorced,Own,$150K or more
214604,White,Female,85,Georgia,Suburban,Four year college or university degree/Bachelor's degree,,Education,Retired,Widowed,Own,$50K to under $75K
214663,White,Female,57,Virginia,Rural,Some college-no degree (includes some community college),No,,Full-time,Married,Own,$50K to under $75K
214801,White,Male,31,Pennsylvania,Suburban,Postgraduate or professional degree,No,Law,Full-time,Never been married,Rent,$100K to under $150
214833,Black or African-American,Male,24,Illinois,Urban,Some postgraduate or professional schooling-no postgraduate degree,Yes,Business/management/finance/marketing/accounting/human resources,Part-time,Never been married,Rent,$20K to under $30K
214877,Black or African-American,Male,38,Connecticut,Urban,Four year college or university degree/Bachelor's degree,No,Engineering/drafting,Full-time,Don't know/Refused,Don't know/Refused (VOL.),$100K to under $150
215027,Black or African-American,Male,54,Georgia,Suburban,Postgraduate or professional degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Divorced,Own,$100K to under $150
215065,White,Male,25,Missouri,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,Less than $10K
215159,White,Male,31,Wisconsin,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Divorced,Own,$40K to under $50K
215183,Hispanic/Latino,Male,32,California,Suburban,Some college-no degree (includes some community college),No,,Part-time,Divorced,Rent,$20K to under $30K
215188,White,Female,21,Arkansas,Rural,Some college-no degree (includes some community college),Yes,Life sciences/Health sciences,Full-time,Never been married,Rent,$10K to under $20K
215192,Black or African-American,Female,69,Illinois,Urban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Never been married,Own,Don't know/Refused
215217,White,Male,39,Florida,Urban,Two year associate degree from a college or university,No,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Rent,$150K or more
215251,White,Female,63,California,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Married,Own,$40K to under $50K
215868,Black or African-American,Female,29,Alabama,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,Less than $10K
216144,Black or African-American,Female,30,Illinois,Suburban,Some college-no degree (includes some community college),No,,Not employed,Living with a partner,Rent,$75K to under $100K
216212,White,Female,53,Missouri,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Disabled,Married,Own,$10K to under $20K
216269,White,Male,75,Washington,Rural,Four year college or university degree/Bachelor's degree,,Architecture,Retired,Widowed,Own,$100K to under $150
216730,White,Male,30,New York,Urban,Four year college or university degree/Bachelor's degree,No,Communications/broadcasting,Full-time,Never been married,Own,$30K to under $40K
217055,Black or African-American,Female,26,Michigan,Suburban,Two year associate degree from a college or university,Yes,Other,Full-time,Never been married,Rent,$20K to under $30K
218082,Black or African-American,Female,30,Florida,Suburban,Two year associate degree from a college or university,No,Vocational/technical,Part-time,Never been married,Rent,$20K to under $30K
218185,White,Female,34,New Hampshire,Rural,Four year college or university degree/Bachelor's degree,No,Psychology/behavorial science,Full-time,Divorced,Rent,$50K to under $75K
218218,White,Male,32,Virginia,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Divorced,Rent,$20K to under $30K
219071,Black or African-American,Male,29,Mississippi,Rural,Some college-no degree (includes some community college),No,,Disabled,Never been married,Rent,Don't know/Refused
219581,Black or African-American,Male,31,Illinois,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Never been married,Rent,Less than $10K
219872,Black or African-American,Male,34,Louisiana,Suburban,Some college-no degree (includes some community college),No,,Part-time,Never been married,Other arrangement,Don't know/Refused
220231,White,Male,30,Arkansas,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Part-time,Never been married,Don't know/Refused (VOL.),Less than $10K
220501,White,Male,33,Arizona,Urban,Postgraduate or professional degree,No,Life sciences/Health sciences,Full-time,Married,Own,$100K to under $150
220508,White,Male,33,California,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Living with a partner,Own,$100K to under $150
221598,White,Male,25,South Carolina,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Own,$75K to under $100K
221631,Black or African-American,Male,34,New York,Urban,Four year college or university degree/Bachelor's degree,No,Computer and information sciences,Full-time,Never been married,Own,$150K or more
221702,Hispanic/Latino,Female,29,Florida,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Married,Own,$20K to under $30K
222651,White,Male,26,Iowa,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,$10K to under $20K
222802,White,Female,27,Florida,Suburban,High school graduate (Grade 12 with diploma or GED certificate),Yes,,Part-time,Separated,Rent,$40K to under $50K
223210,White,Male,30,New Mexico,Urban,Two year associate degree from a college or university,Yes,Vocational/technical,Full-time,Married,Rent,$20K to under $30K
223518,White,Male,34,California,Urban,Four year college or university degree/Bachelor's degree,No,Natural sciences,Full-time,Never been married,Own,$100K to under $150
223825,White,Male,21,Oklahoma,Rural,Some college-no degree (includes some community college),Yes,,Not employed,Never been married,Rent,$10K to under $20K
224110,White,Female,30,North Dakota,Urban,Four year college or university degree/Bachelor's degree,Yes,Life sciences/Health sciences,Part-time,Never been married,Rent,$20K to under $30K
224321,Black or African-American,Male,29,Mississippi,Rural,Some college-no degree (includes some community college),No,,Full-time,Never been married,Live with parents,$30K to under $40K
300003,White,Female,29,Ohio,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Part-time,Never been married,Other arrangement,$20K to under $30K
300014,Refused,Female,29,New Mexico,Suburban,Two year associate degree from a college or university,No,Education,Full-time,Divorced,Other arrangement,$10K to under $20K
300026,White,Female,32,Oregon,Suburban,Some college-no degree (includes some community college),Yes,Psychology/behavorial science,Not employed,Separated,Rent,$10K to under $20K
300030,White,Male,27,Kentucky,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Separated,Other arrangement,Don't know/Refused
300087,White,Female,34,Tennessee,Suburban,Postgraduate or professional degree,No,Foreign languages,Part-time,Never been married,Rent,$20K to under $30K
300107,White,Male,26,Mississippi,Rural,Some college-no degree (includes some community college),Yes,Police and protective services/Criminal justice,Part-time,Never been married,Rent,$10K to under $20K
300179,White,Male,32,New Mexico,Rural,Some college-no degree (includes some community college),No,,Full-time,Never been married,Own,$30K to under $40K
300190,White,Male,29,California,Urban,Postgraduate or professional degree,No,Social sciences,Full-time,Never been married,Rent,$50K to under $75K
400009,Refused,Female,26,Louisiana,Suburban,Postgraduate or professional degree,No,Music,Full-time,Never been married,Own,$20K to under $30K
400019,Hispanic/Latino,Male,26,California,Suburban,Two year associate degree from a college or university,Yes,,Full-time,Never been married,Rent,$50K to under $75K
400040,White,Male,33,South Carolina,Suburban,Postgraduate or professional degree,No,Life sciences/Health sciences,Full-time,Never been married,Own,$75K to under $100K
400044,White,Female,34,Pennsylvania,Rural,Some college-no degree (includes some community college),No,,Not employed,Never been married,Rent,Less than $10K
400055,White,Male,27,California,Urban,Four year college or university degree/Bachelor's degree,No,Social sciences,Full-time,Never been married,Rent,$40K to under $50K
400073,White,Male,33,Minnesota,Urban,Two year associate degree from a college or university,No,Science - unspecified or other,Full-time,Separated,Rent,$40K to under $50K
400083,White,Male,28,Maryland,Suburban,Two year associate degree from a college or university,No,Computer and information sciences,Full-time,Never been married,Rent,$40K to under $50K
400086,Black or African-American,Female,26,Florida,Suburban,Two year associate degree from a college or university,No,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Rent,$20K to under $30K
400101,Black or African-American,Male,33,Georgia,Urban,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Married,Own,$100K to under $150
400123,White,Male,29,Mississippi,Rural,Four year college or university degree/Bachelor's degree,No,Vocational/technical,Full-time,Never been married,Own,Don't know/Refused
400132,Black or African-American,Female,32,Texas,Rural,Some college-no degree (includes some community college),No,,Full-time,Widowed,Own,$30K to under $40K
400148,White,Male,30,Florida,Suburban,Postgraduate or professional degree,No,Engineering/drafting,Full-time,Divorced,Own,$40K to under $50K
400152,Black or African-American,Male,28,California,Urban,High school graduate (Grade 12 with diploma or GED certificate),Yes,Art-visual art/theater/dance/art history,Part-time,Never been married,Rent,Less than $10K
400167,White,Female,26,Missouri,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Widowed,Own,$20K to under $30K
400172,White,Male,32,Washington,Urban,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Rent,$50K to under $75K
400174,Black or African-American,Female,25,North Carolina,Urban,Postgraduate or professional degree,No,Life sciences/Health sciences,Full-time,Never been married,Rent,Less than $10K
400182,White,Male,34,Michigan,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Married,Own,$50K to under $75K
400194,White,Male,32,Florida,Urban,Four year college or university degree/Bachelor's degree,Yes,,Full-time,Never been married,Rent,$50K to under $75K
400196,White,Male,27,Louisiana,Urban,Postgraduate or professional degree,No,Computer and information sciences,Full-time,Never been married,Rent,$40K to under $50K
400212,White,Male,27,Wisconsin,Rural,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,$30K to under $40K
400219,White,Male,32,Pennsylvania,Urban,Some college-no degree (includes some community college),No,,Full-time,Separated,Own,$100K to under $150
400225,White,Male,26,Pennsylvania,Urban,Postgraduate or professional degree,Yes,,Full-time,Never been married,Rent,$10K to under $20K
400231,White,Male,28,Virginia,Urban,Postgraduate or professional degree,No,Law,Full-time,Never been married,Own,$75K to under $100K
400246,White,Female,32,Pennsylvania,Suburban,Postgraduate or professional degree,No,Philosophy/religion/theology,Full-time,Divorced,Other arrangement,$30K to under $40K
400247,Black or African-American,Male,28,Florida,Urban,Some college-no degree (includes some community college),Yes,Police and protective services/Criminal justice,Full-time,Never been married,Rent,$50K to under $75K
400250,White,Male,26,Wisconsin,Rural,Some college-no degree (includes some community college),No,,Full-time,Married,Own,$50K to under $75K
400270,White,Male,34,Washington,Suburban,Four year college or university degree/Bachelor's degree,No,Art-visual art/theater/dance/art history,Full-time,Never been married,Rent,$30K to under $40K
400277,White,Female,31,Tennessee,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Divorced,Rent,$10K to under $20K
400315,White,Female,29,Pennsylvania,Suburban,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Full-time,Never been married,Own,Don't know/Refused
400330,White,Female,26,Wisconsin,Urban,Postgraduate or professional degree,Yes,,Full-time,Never been married,Own,$20K to under $30K
400338,White,Male,28,Pennsylvania,Suburban,Postgraduate or professional degree,No,Law,Full-time,Never been married,Rent,$150K or more
400354,Asian or Asian-American,Female,29,California,Urban,Four year college or university degree/Bachelor's degree,No,Computer and information sciences,Full-time,Never been married,Rent,$50K to under $75K
400367,Asian or Asian-American,Male,30,New York,Urban,Postgraduate or professional degree,Yes,,Full-time,Never been married,Rent,Don't know/Refused
400369,White,Male,28,Massachusetts,Urban,Some college-no degree (includes some community college),No,,Full-time,Never been married,Own,$50K to under $75K
400374,White,Female,30,Texas,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Part-time,Never been married,Own,$10K to under $20K
